TF,Setup,RR,Feature,Bucket,Trades,WinRate,Thr_Lo,Thr_Hi
4h,DL,1.0,lower_wick_pct,Low25,14,0.21428571428571427,,31.633153506620665
4h,DL,1.0,lower_wick_pct,High25,14,0.5,55.29393173198493,
4h,DL,1.0,pos_in_range_n,Low25,14,0.14285714285714285,,0.6820440795159909
4h,DL,1.0,pos_in_range_n,High25,14,0.35714285714285715,0.8097440103303261,
4h,DL,1.0,ret_5_pct,Low25,14,0.2857142857142857,,0.22097301249970336
4h,DL,1.0,ret_5_pct,High25,14,0.42857142857142855,1.3880775050685301,
4h,DL,1.0,vol_z,Low25,14,0.42857142857142855,,-0.7361860750956181
4h,DL,1.0,vol_z,High25,14,0.35714285714285715,0.7840913785245789,
4h,PFR,1.0,ALL,ALL,78,0.5128205128205128,,
4h,PFR,1.0,slope_strength,Low25,20,0.65,,68.828125
4h,PFR,1.0,slope_strength,High25,20,0.35,269.5937500000109,
4h,PFR,1.0,bars_since_new_high,Low25,28,0.35714285714285715,,2.0
4h,PFR,1.0,bars_since_new_high,High25,21,0.5714285714285714,8.0,
4h,PFR,1.0,pullback_from_new_high_pct,Low25,20,0.5,,0.6124113305878296
4h,PFR,1.0,pullback_from_new_high_pct,High25,20,0.65,1.7874851490807018,
4h,PFR,1.0,dist_to_sma80_pct,Low25,20,0.7,,2.1302839579470594
4h,PFR,1.0,dist_to_sma80_pct,High25,20,0.6,6.437122529841357,
4h,PFR,1.0,atr_pct,Low25,20,0.55,,0.917748446316418
4h,PFR,1.0,atr_pct,High25,20,0.6,1.4763307327571409,
4h,PFR,1.0,clv,Low25,20,0.65,,0.7630791387178204
4h,PFR,1.0,clv,High25,20,0.45,0.9334306405746976,
4h,PFR,1.0,lower_wick_pct,Low25,20,0.35,,29.636066669557298
4h,PFR,1.0,lower_wick_pct,High25,20,0.35,57.93684107323729,
4h,PFR,1.0,pos_in_range_n,Low25,20,0.5,,0.7296477520315481
4h,PFR,1.0,pos_in_range_n,High25,20,0.45,0.8906557066849471,
