ts,open,high,low,close,volume
2023-09-06 16:00:00+00:00,1622.5,1676.0,1607.85,1630.67,16865095.0
2023-09-06 20:00:00+00:00,1630.67,1634.46,1626.79,1632.32,4697720.0
2023-09-07 00:00:00+00:00,1632.32,1639.68,1631.01,1639.45,13087561.0
2023-09-07 04:00:00+00:00,1639.45,1642.12,1634.7,1635.17,3709789.0
2023-09-07 08:00:00+00:00,1635.17,1635.32,1625.15,1626.81,4964620.0
2023-09-07 12:00:00+00:00,1626.81,1633.3,1622.64,1629.84,7564961.0
2023-09-07 16:00:00+00:00,1629.84,1640.7,1629.21,1636.36,8296484.0
2023-09-07 20:00:00+00:00,1636.36,1659.7,1635.02,1647.1,8394557.0
2023-09-08 00:00:00+00:00,1647.1,1658.45,1643.19,1645.67,3349789.0
2023-09-08 04:00:00+00:00,1645.67,1652.77,1642.32,1646.09,30559841.0
2023-09-08 08:00:00+00:00,1646.09,1647.0,1615.17,1625.23,7011443.0
2023-09-08 12:00:00+00:00,1625.23,1633.93,1623.61,1627.9,4007684.0
2023-09-08 16:00:00+00:00,1627.9,1634.75,1623.83,1633.71,4175090.0
2023-09-08 20:00:00+00:00,1633.71,1638.17,1632.34,1635.77,2837079.0
2023-09-09 00:00:00+00:00,1635.77,1636.24,1632.59,1633.63,1642611.0
2023-09-09 04:00:00+00:00,1633.63,1635.2,1631.27,1633.73,1952790.0
2023-09-09 08:00:00+00:00,1633.73,1635.5,1632.55,1634.45,1283269.0
2023-09-09 12:00:00+00:00,1634.45,1636.92,1629.08,1634.47,2604124.0
2023-09-09 16:00:00+00:00,1634.47,1636.82,1631.53,1633.18,1749406.0
2023-09-09 20:00:00+00:00,1633.18,1636.5,1632.86,1634.81,1662487.0
2023-09-10 00:00:00+00:00,1634.81,1635.05,1625.95,1630.21,3033041.0
2023-09-10 04:00:00+00:00,1630.21,1630.38,1617.24,1624.12,5726077.0
2023-09-10 08:00:00+00:00,1624.12,1625.87,1618.68,1623.61,4261013.0
